Month,Year,Usage
Jan,2018,905
Jan,2019,1041
Jan,2020,761
Feb,2018,1199
Feb,2019,1074
Feb,2020,923
Mar,2018,1178
Mar,2019,1164
Mar,2020,905
Apr,2018,1100
Apr,2019,1192
Apr,2020,948
May,2018,2086
May,2019,1497
May,2020,1367
June,2018,2816
June,2019,2429
June,2020,2127
July,2018,3575
July,2019,2935
July,2020,0
Aug,2018,2406
Aug,2019,3190
Aug,2020,0
Sep,2018,1941
Sep,2019,3082
Sep,2020,0
Oct,2018,1282
Oct,2019,1195
Oct,2020,0
Nov,2018,1206
Nov,2019,1017
Nov,2020,0
Dec,2018,1272
Dec,2019,877
Dec,2020,0
