USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH
07/03/2020,07/04/2020 07:35:30,00:00,00:15,1.087
07/03/2020,07/04/2020 07:35:30,00:15,00:30,.972
07/03/2020,07/04/2020 07:35:30,00:30,00:45,1.079
07/03/2020,07/04/2020 07:35:30,00:45,01:00,1
07/03/2020,07/04/2020 07:35:30,01:00,01:15,.991
07/03/2020,07/04/2020 07:35:30,01:15,01:30,1.006
07/03/2020,07/04/2020 07:35:30,01:30,01:45,1.003
07/03/2020,07/04/2020 07:35:30,01:45,02:00,.996
07/03/2020,07/04/2020 07:35:30,02:00,02:15,.996
07/03/2020,07/04/2020 07:35:30,02:15,02:30,.984
07/03/2020,07/04/2020 07:35:30,02:30,02:45,.94
07/03/2020,07/04/2020 07:35:30,02:45,03:00,.932
07/03/2020,07/04/2020 07:35:30,03:00,03:15,1.536
07/03/2020,07/04/2020 07:35:30,03:15,03:30,1.846
07/03/2020,07/04/2020 07:35:30,03:30,03:45,1.006
07/03/2020,07/04/2020 07:35:30,03:45,04:00,.998
07/03/2020,07/04/2020 07:35:30,04:00,04:15,.989
07/03/2020,07/04/2020 07:35:30,04:15,04:30,.967
07/03/2020,07/04/2020 07:35:30,04:30,04:45,.554
07/03/2020,07/04/2020 07:35:30,04:45,05:00,.133
07/03/2020,07/04/2020 07:35:30,05:00,05:15,.138
07/03/2020,07/04/2020 07:35:30,05:15,05:30,.125
07/03/2020,07/04/2020 07:35:30,05:30,05:45,.131
07/03/2020,07/04/2020 07:35:30,05:45,06:00,.503
07/03/2020,07/04/2020 07:35:30,06:00,06:15,.744
07/03/2020,07/04/2020 07:35:30,06:15,06:30,.554
07/03/2020,07/04/2020 07:35:30,06:30,06:45,1.044
07/03/2020,07/04/2020 07:35:30,06:45,07:00,.737
07/03/2020,07/04/2020 07:35:30,07:00,07:15,.122
07/03/2020,07/04/2020 07:35:30,07:15,07:30,.149
07/03/2020,07/04/2020 07:35:30,07:30,07:45,.146
07/03/2020,07/04/2020 07:35:30,07:45,08:00,.167
07/03/2020,07/04/2020 07:35:30,08:00,08:15,.109
07/03/2020,07/04/2020 07:35:30,08:15,08:30,.802
07/03/2020,07/04/2020 07:35:30,08:30,08:45,.407
07/03/2020,07/04/2020 07:35:30,08:45,09:00,.113
07/03/2020,07/04/2020 07:35:30,09:00,09:15,.154
07/03/2020,07/04/2020 07:35:30,09:15,09:30,.122
07/03/2020,07/04/2020 07:35:30,09:30,09:45,.166
07/03/2020,07/04/2020 07:35:30,09:45,10:00,.541
07/03/2020,07/04/2020 07:35:30,10:00,10:15,1.024
07/03/2020,07/04/2020 07:35:30,10:15,10:30,.137
07/03/2020,07/04/2020 07:35:30,10:30,10:45,.185
07/03/2020,07/04/2020 07:35:30,10:45,11:00,.754
07/03/2020,07/04/2020 07:35:30,11:00,11:15,.342
07/03/2020,07/04/2020 07:35:30,11:15,11:30,.156
07/03/2020,07/04/2020 07:35:30,11:30,11:45,.725
07/03/2020,07/04/2020 07:35:30,11:45,12:00,.326
07/03/2020,07/04/2020 07:35:30,12:00,12:15,.172
07/03/2020,07/04/2020 07:35:30,12:15,12:30,.15
07/03/2020,07/04/2020 07:35:30,12:30,12:45,.144
