USAGE_DATE,Total
8/1/2018,84.342
8/2/2018,110.535
8/3/2018,93.913
8/4/2018,96.57
8/5/2018,106.19
8/6/2018,110.901
8/7/2018,89.08
8/8/2018,76.283
8/9/2018,76.198
8/10/2018,50.829
8/11/2018,46.595
8/12/2018,52.406
8/13/2018,49.525
8/14/2018,50.153
8/15/2018,76.26
8/16/2018,80.232
8/17/2018,94.329
8/18/2018,96.641
8/19/2018,89.244
8/20/2018,68.655
8/21/2018,71.128
8/22/2018,73.645
8/23/2018,73.272
8/24/2018,66.084
8/25/2018,97.793
8/26/2018,94.02
8/27/2018,71.364
8/28/2018,74.385
8/29/2018,97.229
8/30/2018,88.102
8/31/2018,99.647
9/1/2018,88.388
9/2/2018,77.472
9/3/2018,58.049
9/4/2018,61.069
9/5/2018,46.835
9/6/2018,53.665
9/7/2018,57.632
9/8/2018,41.452
9/9/2018,39.051
9/10/2018,43.903
9/11/2018,39.028
9/12/2018,49.336
9/13/2018,61.119
9/14/2018,49.113
9/15/2018,58.243
9/16/2018,67.153
9/17/2018,88.79
9/18/2018,81.222
9/19/2018,89.957
9/20/2018,65.534
9/21/2018,53.102
9/22/2018,45.441
9/23/2018,39.184
9/24/2018,51.801
9/25/2018,85.602
9/26/2018,43.331
9/27/2018,53.819
9/28/2018,45.632
9/29/2018,59.429
9/30/2018,71.645
10/1/2018,75.315
10/2/2018,75.485
10/3/2018,75.25
10/4/2018,78.744
10/5/2018,65.615
10/6/2018,67.942
10/7/2018,66.551
10/8/2018,56.031
10/9/2018,35.964
10/10/2018,57.73
10/11/2018,31.522
10/12/2018,32.379
10/13/2018,34.896
10/14/2018,36.587
10/15/2018,35.328
10/16/2018,35.84
10/17/2018,32.632
10/18/2018,35.095
10/19/2018,29.516
10/20/2018,30.35
10/21/2018,29.006
10/22/2018,34.439
10/23/2018,33.303
10/24/2018,33.125
10/25/2018,42.988
10/26/2018,43.954
10/27/2018,31.417
10/28/2018,42.26
10/29/2018,37.787
10/30/2018,39.788
10/31/2018,35.305
11/1/2018,30.366
11/2/2018,33.058
11/3/2018,29.757
11/4/2018,29.918
11/5/2018,33.43
11/6/2018,38.421
11/7/2018,32.157
11/8/2018,35.513
11/9/2018,34.467
11/10/2018,39.851
11/11/2018,36.506
11/12/2018,38.446
11/13/2018,66.498
11/14/2018,61.279
11/15/2018,54.771
11/16/2018,40.144
11/17/2018,37.325
11/18/2018,39.867
11/19/2018,44.692
11/20/2018,44.934
11/21/2018,41.694
11/22/2018,36.9
11/23/2018,36.416
11/24/2018,36.853
11/25/2018,37.704
11/26/2018,57.932
11/27/2018,47.823
11/28/2018,39.762
11/29/2018,34.097
11/30/2018,32.846
12/1/2018,33.991
12/2/2018,35.371
12/3/2018,37.233
12/4/2018,54.274
12/5/2018,46.343
12/6/2018,38.854
12/7/2018,39.142
12/8/2018,50.383
12/9/2018,50.74
12/10/2018,48.56
12/11/2018,46.385
12/12/2018,35.803
12/13/2018,35.224
12/14/2018,41.539
12/15/2018,43.769
12/16/2018,39.159
12/17/2018,35.321
12/18/2018,35.74
12/19/2018,38.569
12/20/2018,36.852
12/21/2018,44.425
12/22/2018,38.368
12/23/2018,39.471
12/24/2018,35.142
12/25/2018,37.199
12/26/2018,32.831
12/27/2018,32.159
12/28/2018,43.125
12/29/2018,30.33
12/30/2018,32.139
12/31/2018,24.797
1/1/2019,26.632
1/2/2019,40.904
1/3/2019,37.185
1/4/2019,35.364
1/5/2019,21.347
1/6/2019,25.856
1/7/2019,16.289
1/8/2019,19.548
1/9/2019,18.971
1/10/2019,20.154
1/11/2019,24.498
1/12/2019,21.5
1/13/2019,21.477
1/14/2019,23.933
1/15/2019,21.021
1/16/2019,19.105
